A	Coef	t	p.value	p.value.adj	F	F.p.value	trtTpo-trtTdu
7.72	0.711	11.29	0	1.2e-05	127.44	0	1
1.43	0.425	1.91	0.08611	0.132637	3.65	0.08611	0
6.65	-0.198	-2.55	0.02943	0.053455	6.51	0.02943	0
10.06	-0.3	-3.68	0.0045	0.010921	13.53	0.0045	-1
1.44	1.8	2.92	0.0157	0.031297	8.55	0.0157	1
6.22	-0.672	-9.18	0	4.5e-05	84.24	0	-1
5.87	-0.288	-3.3	0.00831	0.018337	10.92	0.00831	-1
4.01	0.338	2.56	0.02907	0.052907	6.55	0.02907	0
3.89	0.353	2.46	0.03426	0.060724	6.06	0.03426	0
6.93	-0.877	-13.38	0	4e-06	179.06	0	-1
4.76	-0.316	-3.43	0.00675	0.015378	11.76	0.00675	-1
5.35	-0.102	-0.75	0.46894	0.551662	0.57	0.46894	0
6.47	-0.393	-4.18	0.00202	0.005615	17.48	0.00202	-1
2	-0.145	-0.63	0.54378	0.620758	0.4	0.54378	0
6.53	0.459	6.03	0.00015	0.000663	36.33	0.00015	1
5.43	0.556	6.64	7e-05	0.000362	44.02	7e-05	1
6.81	0.136	1.77	0.10854	0.161698	3.12	0.10854	0
0.09	0.06	0.25	0.81155	0.852426	0.06	0.81155	0
5.96	-0.146	-2.04	0.07013	0.111734	4.14	0.07013	0
5.37	0.664	8.15	1e-05	9.7e-05	66.36	1e-05	1
7.2	-0.205	-2.3	0.04518	0.07665	5.28	0.04518	0
2.03	-1.097	-5.7	0.00023	0.000937	32.44	0.00023	-1
7.63	-0.321	-4.51	0.00122	0.003683	20.35	0.00122	-1
6.7	0.286	3.9	0.00316	0.008161	15.19	0.00316	1
5.31	-0.697	-7.67	2e-05	0.000143	58.77	2e-05	-1
1.61	0.049	0.2	0.84751	0.881702	0.04	0.84751	0
5.91	-0.386	-4.6	0.00106	0.003279	21.18	0.00106	-1
0.01	-0.584	-1.81	0.10214	0.153535	3.26	0.10214	0
2.17	-0.193	-1.22	0.2516	0.328706	1.49	0.2516	0
3.7	0.956	7.19	4e-05	0.000216	51.65	4e-05	1
3.89	-0.414	-2.71	0.02242	0.042405	7.36	0.02242	-1
2.77	-0.522	-3.19	0.01001	0.021409	10.19	0.01001	-1
3.27	-2.014	-14.66	0	3e-06	214.85	0	-1
1.21	0.709	2.92	0.01578	0.031429	8.53	0.01578	1
7.05	-0.53	-6.47	8e-05	0.000424	41.87	8e-05	-1
5.1	0.314	3.15	0.01066	0.02263	9.95	0.01066	1
4.75	0.087	0.69	0.50711	0.587752	0.47	0.50711	0
1.05	0.204	0.79	0.44587	0.530342	0.63	0.44587	0
